secteur,timestamp,psi_instant
T70744A,2025-01-01 00:00:00,0.0
T70744A,2025-01-01 00:00:01,0.0
T70744A,2025-01-01 00:00:02,0.0
T70744A,2025-01-01 00:00:03,0.0
T70744A,2025-01-01 00:00:04,0.0
T70744A,2025-01-01 00:00:05,0.0
T70744A,2025-01-01 00:00:06,0.0
T70744A,2025-01-01 00:00:07,3.2135309129684755
T70744A,2025-01-01 00:00:08,0.16926784050001273
T70744A,2025-01-01 00:00:09,0.0
T70744A,2025-01-01 00:00:10,0.0
T70744A,2025-01-01 00:00:11,0.0
T70744A,2025-01-01 00:00:12,5.054198153600458
T70744A,2025-01-01 00:00:13,0.0
T70744A,2025-01-01 00:00:14,0.0
T70744A,2025-01-01 00:00:15,0.0
T70744A,2025-01-01 00:00:16,0.0
T70744A,2025-01-01 00:00:17,0.0
T70744A,2025-01-01 00:00:18,0.0
T70744A,2025-01-01 00:00:19,1.7516948958758969
T70744A,2025-01-01 00:00:20,2.778799412709303
T70744A,2025-01-01 00:00:21,0.0
T70744A,2025-01-01 00:00:22,0.0
T70744A,2025-01-01 00:00:23,0.0
T70744A,2025-01-01 00:00:24,0.0
T70744A,2025-01-01 00:00:25,0.0
T70744A,2025-01-01 00:00:26,0.0
T70744A,2025-01-01 00:00:27,0.0
T70744A,2025-01-01 00:00:28,3.107516051708333
T70744A,2025-01-01 00:00:29,2.476080598563407
T70744A,2025-01-01 00:00:30,0.0
T70744A,2025-01-01 00:00:31,1.701945146164393
T70744A,2025-01-01 00:00:32,0.0
T70744A,2025-01-01 00:00:33,3.542765549918073
T70744A,2025-01-01 00:00:34,0.8072018880039934
T70744A,2025-01-01 00:00:35,0.0
T70744A,2025-01-01 00:00:36,3.8859197182658893
T70744A,2025-01-01 00:00:37,0.0
T70744A,2025-01-01 00:00:38,0.0
T70744A,2025-01-01 00:00:39,0.0
T70744A,2025-01-01 00:00:40,0.0
T70744A,2025-01-01 00:00:41,0.0
T70744A,2025-01-01 00:00:42,0.0
T70744A,2025-01-01 00:00:43,0.0
T70744A,2025-01-01 00:00:44,0.4718469280612404
T70744A,2025-01-01 00:00:45,0.6405026538724904
T70744A,2025-01-01 00:00:46,0.0
T70744A,2025-01-01 00:00:47,0.0
T70744A,2025-01-01 00:00:48,0.0
T70744A,2025-01-01 00:00:49,0.5870547671015375
T70744A,2025-01-01 00:00:50,0.0
T70744A,2025-01-01 00:00:51,7.459091664498761
T70744A,2025-01-01 00:00:52,0.0
T70744A,2025-01-01 00:00:53,0.309685754355281
T70744A,2025-01-01 00:00:54,0.0
T70744A,2025-01-01 00:00:55,0.0
T70744A,2025-01-01 00:00:56,0.0
T70744A,2025-01-01 00:00:57,0.43411915906324305
T70744A,2025-01-01 00:00:58,0.0
T70744A,2025-01-01 00:00:59,0.0
T70744A,2025-01-01 00:01:00,0.0
T70744A,2025-01-01 00:01:01,0.0
T70744A,2025-01-01 00:01:02,1.9867192517589034
T70744A,2025-01-01 00:01:03,1.588092858330917
T70744A,2025-01-01 00:01:04,0.0
T70744A,2025-01-01 00:01:05,0.0
T70744A,2025-01-01 00:01:06,0.0
T70744A,2025-01-01 00:01:07,0.0
T70744A,2025-01-01 00:01:08,0.0
T70744A,2025-01-01 00:01:09,0.0
T70744A,2025-01-01 00:01:10,0.0
T70744A,2025-01-01 00:01:11,0.0
T70744A,2025-01-01 00:01:12,1.2456121414953398
T70744A,2025-01-01 00:01:13,0.4978645141707812
T70744A,2025-01-01 00:01:14,0.0
T70744A,2025-01-01 00:01:15,0.0
T70744A,2025-01-01 00:01:16,0.3205922693500367
T70744A,2025-01-01 00:01:17,0.0
T70744A,2025-01-01 00:01:18,0.0
T70744A,2025-01-01 00:01:19,0.0
T70744A,2025-01-01 00:01:20,0.0
T70744A,2025-01-01 00:01:21,0.0
T70744A,2025-01-01 00:01:22,0.0
T70744A,2025-01-01 00:01:23,0.0
T70744A,2025-01-01 00:01:24,0.304329662587225
T70744A,2025-01-01 00:01:25,1.0637303205682953
T70744A,2025-01-01 00:01:26,0.0
T70744A,2025-01-01 00:01:27,1.7158781397380862
T70744A,2025-01-01 00:01:28,1.46601630958935
T70744A,2025-01-01 00:01:29,0.0
T70744A,2025-01-01 00:01:30,0.0
T70744A,2025-01-01 00:01:31,0.0
T70744A,2025-01-01 00:01:32,0.05921808024308414
T70744A,2025-01-01 00:01:33,0.0
T70744A,2025-01-01 00:01:34,0.0
T70744A,2025-01-01 00:01:35,5.512551754704301
T70744A,2025-01-01 00:01:36,0.0
T70744A,2025-01-01 00:01:37,0.0
T70744A,2025-01-01 00:01:38,0.0
T70744A,2025-01-01 00:01:39,2.8794330813001023
T70744A,2025-01-01 00:01:40,0.0
T70744A,2025-01-01 00:01:41,0.0
T70744A,2025-01-01 00:01:42,0.0
T70744A,2025-01-01 00:01:43,0.0
T70744A,2025-01-01 00:01:44,0.0
T70744A,2025-01-01 00:01:45,0.9869293733721379
T70744A,2025-01-01 00:01:46,0.0
T70744A,2025-01-01 00:01:47,0.0
T70744A,2025-01-01 00:01:48,2.405581665032476
T70744A,2025-01-01 00:01:49,0.0
T70744A,2025-01-01 00:01:50,0.0
